token_address,token_name,token_symbol,decimals
terra1kc87mu460fwkqte29rquh4hc20m54fxwtsx7gp,"","bLuna",0
terra1dzhzukyezv0etz22ud940z7adyv7xgcjkahuun,"","bETH",0
terra1hzh9vpxhsk8253se0vv5jj6etdvxu3nv8z07zu,"","aUST",0
terra14z56l0fp2lsf86zy3hty2z47ezkhnthtr9yq76,"","ANC",0
terra15gwkyepfc6xgca5t5zefzwy42uts8l2m4g40k6,"Mirror","MIR",0
terra1vxtwu4ehgzz77mnfwrntyrmgl64qjs75mpwqaz,"Apple Inc.","mAAPL",0
terra1g4x2pzmkc9z3mseewxf758rllg08z3797xly0n,"Airbnb Inc.","mABNB",0
terra1qelfthdanju7wavc5tq0k5r0rhsyzyyrsn09qy,"AMC Entertainment Holdings Inc.","mAMC",0
terra18ej5nsuu867fkx4tuy2aglpvqjrkcrjjslap3z,"Advanced Micro Devices, Inc.","mAMD",0
terra165nd2qmrtszehcfrntlplzern7zl4ahtlhd5t2,"Amazon.com, Inc.","mAMZN",0
terra1qqfx5jph0rsmkur2zgzyqnfucra45rtjae5vh6,"ARK Innovation ETF","mARKK",0
terra1w7zgkcyt7y4zpct9dw8mw362ywvdlydnum2awa,"Alibaba Group Holding Limited","mBABA",0
terra1rhhvx8nzfrx5fufkuft06q5marfkucdqwq5sjw,"Bitcoin","mBTC",0
terra18wayjpyq28gd970qzgjfmsjj7dmgdk039duhph,"Coinbase Global, Inc.","mCOIN",0
terra19ya4jpvjvvtggepvmmj6ftmwly3p7way0tt08r,"Polkadot","mDOT",0
terra1dk3g53js3034x4v5c3vavhj2738une880yu6kx,"Ether","mETH",0
terra1mqsjugsugfprn3cvgxsrr8akkvdxv2pzc74us7,"Facebook Inc.","mFB",0
terra1l5lrxtwd98ylfy09fn866au6dp76gu8ywnudls,"Galaxy Digital Holdings Ltd","mGLXY",0
terra1m6j6j9gw728n82k78s0j9kq8l5p6ne0xcc820p,"GameStop Corp","mGME",0
terra1h8arz2k547uvmpxctuwush3jzc8fun4s96qgwt,"Alphabet Inc.","mGOOGL",0
terra137drsu8gce5thf6jr5mxlfghw36rpljt3zj73v,"Goldman Sachs Group Inc.","mGS",0
terra15hp9pr8y4qsvqvxf3m4xeptlk7l8h60634gqec,"iShares Gold Trust","mIAU (Delisted)",0
terra10h7ry7apm55h4ez502dqdv9gr53juu85nkd4aq,"iShares Gold Trust","mIAU",0
terra1227ppwxxj3jxz8cfgq00jgnxqcny7ryenvkwj6,"Microsoft Corporation","mMSFT",0
terra1jsxngqasf2zynj5kyh0tgq9mj3zksa5gk35j4k,"Netflix, Inc.","mNFLX",0
terra1csk6tc7pdmpr782w527hwhez6gfv632tyf72cp,"Invesco QQQ Trust","mQQQ",0
terra1kscs6uhrqwy6rx5kuw5lwpuqvm3t6j2d6uf2lp,"iShares Silver Trust","mSLV",0
terra1aa00lpfexyycedfg5k2p60l9djcmw0ue5l8fhc,"SPDR S&P 500","mSPY",0
terra1u43zu5amjlsgty5j64445fr9yglhm53m576ugh,"Square, Inc.","mSQ",0
terra14y5affaarufk3uscy2vr6pe6w6zqf2wpjzn5sh,"Tesla, Inc.","mTSLA",0
terra1cc3enj9qgchlrj34cnzhwuclc4vl2z3jl7tkqg,"Twitter, Inc.","mTWTR",0
terra1lvmx8fsagy70tv0fhmfzdw9h6s3sy4prz38ugf,"United States Oil Fund, LP","mUSO",0
terra19cmt6vzvhnnnfsmccaaxzy2uaj06zjktu6yzjx,"ProShares VIX Short-Term Futures ETF","mVIXY",0
terra1zp3a6q6q4953cz376906g5qfmxnlg77hx3te45,"ProShares VIX Short-Term Futures ETF","mVIXY (Delisted)",0
terra1ez46kxtulsdv07538fh5ra5xj8l68mu8eg24vr,"LOTA Token","LOTA",0
terra17jnhankdfl8vyzj6vejt7ag8uz0cjc9crkl2h7,"Digipharm","DPH",0
terra1kcthelkax4j9x8d3ny6sdag0qmxxynl3qtcrpy,"Pylon MINE Token","MINE",0
terra1zsaswh926ey8qa5x4vj93kzzlfnef0pstuca0y,"Pylon bDP Token for Gateway Psi 24m Pool","bPsiDP-24m",0
terra1s5eczhe0h0jutf46re52x5z4r03c8hupacxmdr,"Spectrum Token","SPEC",0
terra1nef5jf6c7js9x6gkntlehgywvjlpytm7pcgkn4,"LOOP token","LOOP",0
terra1jx4lmmke2srcvpjeereetc9hgegp4g5j0p9r2q,"LOOPR token","LOOPR",0
terra13xujxcrc9dqft4p9a8ls0w3j0xnzm6y2uvve8n,"StarTerra Token","STT",0
terra19djkaepjjswucys4npd5ltaxgsntl7jf0xz7w6,"TWD Token","TWD",0
terra1vtr50tw0pgqpes34zqu60n554p9x4950wk8f63,"MIAW Token","MIAW",0
terra12897djskt9rge8dtmm86w654g7kzckkd698608,"Nexus Governance Token","PSI",0
terra1dy9kmlm4anr92e42mrkjwzyvfqwz66un00rwr5,"VKR Token","VKR",0
terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03,"Orion Money Token","ORION",8
terra1r5506ckw5tfr3z52jwlek8vg9sn3yflrqrzfsc,"TerraLand Token","TLAND",6
terra1php5m8a6qd68z02t3zpw4jv2pj4vgw4wz0t8mz,"Whale Token","WHALE",6
terra14tl83xcwqjy0ken9peu4pjjuu755lrry2uy25r,"Wrapped Ether (Wormhole)","weWETH",8
terra1aa7upykmmqqc63l924l5qfap8mrmx5rfdm0v55,"Wrapped BTC (Wormhole)","weWBTC",8
terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk,"Wrapped SOL (Wormhole)","wsSOL",8
terra1dfasranqm4uyaz72r960umxy0w8t6zewqlnkuq,"Matic Token (Wormhole)","weMATIC",8
terra1cetg5wruw2wsdjp7j46rj44xdel00z006e9yg8,"Wrapped BNB (Wormhole)","wbWBNB",8
terra1xvqlpjl2dxyel9qrp6qvtrg04xe3jh9cyxc6av,"PancakeSwap Token (Wormhole)","wbCake",8
terra12dfv3f0e6m22z6cnhfn3nxk2en3z3zeqy6ctym,"ChainLink Token (Wormhole)","weLINK",8
terra1csvuzlf92nyemu6tv25h0l79etpe8hz3h5vn4a,"SushiToken (Wormhole)","weSUSHI",8
terra1wyxkuy5jq545fn7xfn3enpvs5zg9f9dghf6gxf,"Uniswap (Wormhole)","weUNI",8
terra1ce06wkrdm4vl6t0hvc0g86rsy27pu8yadg3dva,"Tether USD (Wormhole)","weUSDT",6
terra1pepwcav40nvj3kh60qqgrk8k07ydmc00xyat06,"USD Coin (Wormhole)","weUSDC",6
terra1xfsdgcemqwxp4hhnyk4rle6wr22sseq7j07dnn,"Kujira Token","KUJI",6
terra133chr09wu8sakfte5v7vd8qzq9vghtkv4tn0ur,"Wrapped liquid staked Ether 2.0 (Wormhole)","wewstETH",8
terra1t9ul45l7m6jw6sxgvnp8e5hj8xzkjsg82g84ap,"Lido staked SOL (Wormhole)","wsstSOL",8
terra1jxypgnfa07j6w92wazzyskhreq2ey2a5crgt6z,"Lido DAO Token (Wormhole)","weLDO",8
terra1u5szg038ur9kzuular3cae8hq6q5rk5u27tuvz,"Lido Bonded ETH (Wormhole)","webETH",8
terra1yg3j2s986nyp5z7r2lvt0hx3r0lnd7kwvwwtsc,"Staked Luna","stLuna",6
terra169edevav3pdrtjcx35j6pvzuv54aevewar4nlh,"XDEFI (Wormhole)","XDEFI",8
terra1a7zxk56c72elupp7p44hn4k94fsvavnhylhr6h,"Mars","MARS",6
terra193c42lfwmlkasvcw22l9qqzc5q2dx208tkd7wl,"Bitlocus Token","BTL",6
terra17y9qkl8dfkeg4py7n0g5407emqnemc3yqk5rup,"LunaX Token","LunaX",6
terra1m3tdguf59xq3pa2twk5fjte5g6szj5y9x5npy7,"LUNI","LUNI",6
terra13awdgcx40tz5uygkgm79dytez3x87rpg4uhnvu,"PlayNity Token","PLY",6
terra1u2k0nkenw0p25ljsr4ksh7rxm65y466vkdewwj,"TFLOKI","TFLOKI",6
terra1a8k3jyv3wf6k3zngza5h6srrxcckdf7zv90p6u,"TFLOKI Genesis Ticket","TFTIC",6
terra1xt9fgu7965kgvunnjts9zkprd8986kcc444q86,"TFLOKI New World Ticket","TFTICII",6
terra1vte2xv7dr8sfnrnwdf9arcyprqgr0hty5ads28,"TFLOKI Aviator Ticket","TFTICIII",6
terra1hmxxq0y8h79f3228vs0czc4uz5jdgjt0appp26,"Moon Token","MOON",0
terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3,"Astroport Token","ASTRO",0
terra1w8kvd6cqpsthupsk4l0clwnmek4l3zr7c84kwq,"Angel Protocol Token","HALO",6
terra1kdfsdm3c4reun9j3m4mk3nmyw4a4ns7mj24q3j,"AstroPug Token","PUG",6
terra1hnezwjqlhzawcrfysczcxs6xqxu2jawn729kkf,"Orne Token","ORNE",6
terra14vz4v8adanzph278xyeggll4tfww7teh0xtw2y,"Terra Name Service","TNS",6
terra1td743l5k5cmfy7tqq202g7vkmdvq35q48u2jfm,"Thorstarter","XRUNE",6
terra1366wmr8t8rrkh6mag8fagqxntmf2qe4kyte784,"Alpha Pack Token","aLOT",0
terra1z09gnzufuflz6ckd9k0u456l9dnpgsynu0yyhe,"CurioSITY play to earn token","SITY",6
terra13zx49nk8wjavedjzu8xkk95r3t0ta43c9ptul7,"GLOW Token","GLOW",6
terra100yeqvww74h4yaejj6h733thgcafdaukjtw397,"Apollo DAO Token","APOLLO",6
terra1a7ye2splpfzyenu0yrdu8t83uzgusx2malkc7u,"Allbridge","ABR",6
terra1y3d5qexmyac0fg53pfglh2pjk0664ymfvcq9mc,"Global Transaction Payment Solu","whGTPS",8
terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,"Prism Token","PRISM",6
terra1l0y8yg0s86x299nqw0p6fhh7ngex3r4phtjeuq,"Space Dollar","SDOLLAR",2
terra1ku5e0dhutxhuxudsmsn5647wwcz6ndr3rsh90k,"SAIL","whSAIL",6
terra1rl0cpwgtwl4utnaynugevdje37fnmsea7rv4uu,"SolanaSail Governance Token V2","whgSAIL",8
terra1042wzrwg2uk6jqxjm34ysqquyr9esdgm5qyswz,"xPRISM Token","xPRISM",6
terra18yqdfzfhnguerz9du5mnvxsh5kxlknqhcxzjfr,"","mHOOD",0
terra1vru3mk2ne3jqpwg24wm5mg2356cg5ead0tae2s,"","DAN (Meme Token)",0
terra1kdfcxec8qu3qd3kt02h4ysr3a2ez8k6cj2093n,"","PylonDP",0
terra10f2mt82kjnkxqj2gepgwl637u2w4ue2z5nhz5j,"nLuna Token","nLuna",0
terra178v546c407pdnx5rer3hu8s2c0fc924k74ymnn,"nETH Token","nETH",0
terra1jsaghv4tsltlk4ka6u3pg0msccdz0xsz0vkhcg,"","RANGO",0
terra1cw7znqh9w5f2ryyskq76fmxhj9hdl06uv0j0cd,"","xASTRO",0
terra1cl7whtrqmz5ldr553q69qahck8xvk80fm33qjx,"ATLO Token","ATLO",0
terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,"cLUNA Token","cLUNA",0
terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,"pLUNA Token","pLUNA",0
terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,"yLUNA Token","yLUNA",0
terra1w0p5zre38ecdy3ez8efd5h9fvgum5s206xknrg,"vUST Token","vUST",0
terra188w26t95tf4dz77raftme8p75rggatxjxfeknw,"sKUJI Token","sKUJI",0
terra1dj2cj02zak0nvwy3uj9r9dhhxhdwxnw6psse6p,"NIO Inc.","mNIO",6
